player_name,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,rush_touchdown,fumble,fumble_lost,receptions,targets,receiving_air_yards,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,top_10_next,offense_snaps,total_tds,total_yards,games_missed,age,games_played_season
David Ausberry,2012,92.0,43.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,64.0,0.0,1.0,2.0,0.0,16.2,0,58.0,0.0,92.0,9,24.0,7
Dante Rosario,2012,95.0,37.0,0.0,0.0,0.0,1.0,1.0,10.0,16.0,157.0,3.0,4.0,6.0,3.0,32.5,0,156.0,6.0,95.0,7,27.0,9
Dallas Clark,2012,435.0,111.0,0.0,0.0,0.0,0.0,0.0,47.0,70.0,575.0,4.0,8.0,10.0,4.0,104.5,0,568.0,8.0,435.0,0,33.0,16
D.J. Williams,2012,37.0,27.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,76.0,0.0,0.0,0.0,0.0,7.7,0,102.0,0.0,37.0,12,23.0,4
Craig Stevens,2012,275.0,129.0,0.0,0.0,0.0,2.0,0.0,23.0,33.0,274.0,1.0,2.0,3.0,1.0,56.5,0,529.0,2.0,275.0,2,27.0,14
Coby Fleener,2012,281.0,103.0,0.0,0.0,0.0,0.0,0.0,26.0,48.0,397.0,2.0,3.0,8.0,1.0,66.1,0,451.0,4.0,281.0,4,23.0,12
Clay Harbor,2012,186.0,69.0,0.0,0.0,0.0,1.0,1.0,25.0,37.0,281.0,2.0,5.0,8.0,2.0,48.600000000000000,0,311.0,4.0,186.0,5,25.0,11
Chris Cooley,2012,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.8,0,17.0,0.0,8.0,14,30.0,2
Charles Clay,2012,212.0,81.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,228.0,2.0,2.0,2.0,0.0,49.2,1,296.0,4.0,212.0,3,23.0,13
Brent Celek,2012,684.0,306.0,0.0,0.0,0.0,1.0,1.0,57.0,83.0,659.0,1.0,6.0,10.0,1.0,118.4,0,862.0,2.0,684.0,1,27.0,15
Brandon Pettigrew,2012,567.0,235.0,0.0,0.0,0.0,4.0,2.0,59.0,99.0,643.0,3.0,5.0,11.0,3.0,121.7,0,753.0,6.0,567.0,3,27.0,13
Brandon Myers,2012,806.0,286.0,0.0,0.0,0.0,0.0,0.0,79.0,102.0,719.0,4.0,9.0,13.0,4.0,177.6,0,1008.0,8.0,806.0,0,26.0,16
Benjamin Watson,2012,501.0,215.0,0.0,0.0,0.0,1.0,0.0,49.0,78.0,541.0,3.0,6.0,8.0,3.0,111.1,0,853.0,6.0,501.0,0,31.0,16
Bear Pascoe,2012,35.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,31.0,1.0,1.0,2.0,1.0,13.5,0,120.0,2.0,35.0,8,26.0,8
Anthony Fasano,2012,332.0,90.0,0.0,0.0,0.0,0.0,0.0,41.0,67.0,466.0,5.0,9.0,14.0,5.0,100.2,0,900.0,10.0,332.0,0,28.0,16
Aaron Hernandez,2012,483.0,222.0,1.0,5.0,0.0,0.0,0.0,51.0,80.0,596.0,5.0,7.0,12.0,4.0,123.8,0,565.0,10.0,488.0,6,22.0,10
Zach Miller,2013,387.0,150.0,0.0,0.0,0.0,0.0,0.0,33.0,55.0,379.0,5.0,6.0,10.0,5.0,99.7,0,662.0,10.0,387.0,3,27.0,13
Zach Ertz,2013,469.0,158.0,1.0,0.0,0.0,0.0,0.0,36.0,56.0,567.0,4.0,4.0,6.0,3.0,106.90000000000000,0,417.0,8.0,469.0,1,22.0,15
Virgil Green,2013,30.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,35.0,0.0,1.0,3.0,0.0,10.0,0,229.0,0.0,30.0,8,25.0,8
Vernon Davis,2013,850.0,264.0,0.0,0.0,0.0,1.0,1.0,52.0,82.0,1129.0,13.0,12.0,20.0,9.0,208.0,0,811.0,26.0,850.0,1,29.0,15
Vance McDonald,2013,119.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,213.0,0.0,1.0,1.0,0.0,19.9,0,346.0,0.0,119.0,6,23.0,10
Tyler Eifert,2013,445.0,227.0,0.0,0.0,0.0,0.0,0.0,39.0,56.0,436.0,2.0,3.0,6.0,1.0,89.5,0,673.0,4.0,445.0,1,22.0,15
Tony Scheffler,2013,82.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,109.0,0.0,0.0,0.0,0.0,15.2,0,82.0,0.0,82.0,12,30.0,4
Tony Gonzalez,2013,859.0,224.0,0.0,0.0,0.0,0.0,0.0,83.0,119.0,964.0,8.0,17.0,24.0,7.0,212.9,0,1003.0,16.0,859.0,0,37.0,16
Scott Chandler,2013,655.0,277.0,0.0,0.0,0.0,1.0,1.0,53.0,80.0,718.0,2.0,1.0,6.0,0.0,125.5,0,918.0,4.0,655.0,0,28.0,16
Ryan Griffin,2013,18.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,3.8,0,37.0,0.0,18.0,14,23.0,2
Rob Gronkowski,2013,592.0,194.0,0.0,0.0,0.0,0.0,0.0,39.0,62.0,711.0,4.0,5.0,7.0,3.0,114.2,1,384.0,8.0,592.0,9,24.0,7
Rhett Ellison,2013,61.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,32.0,1.0,2.0,2.0,1.0,15.1,0,174.0,2.0,61.0,11,24.0,5
Owen Daniels,2013,252.0,84.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,263.0,3.0,3.0,4.0,3.0,59.2,0,352.0,6.0,252.0,11,30.0,5
Orson Charles,2013,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.8,0,35.0,0.0,8.0,15,22.0,1
