player_name,position,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,rush_touchdown,pass_touchdown,interception,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,rush_attempts_redzone,rush_touchdown_redzone,fantasy_points_ppr,total_tds,touches,total_yards,age,games_played_season,top_10_next
Evan Royster,RB,2012,109.0,115.0,23.0,88.0,1.0,2.0,0.0,0.0,0.0,15.0,23.0,0.0,1.0,1.0,0.0,3.0,2.0,46.7,2.0,38.0,197.0,24.0,15,0
Felix Jones,RB,2012,262.0,226.0,111.0,402.0,7.0,3.0,2.0,1.0,1.0,25.0,35.0,2.0,2.0,3.0,2.0,11.0,2.0,116.4,7.0,136.0,664.0,25.0,16,0
Frank Gore,RB,2012,234.0,221.0,258.0,1214.0,26.0,8.0,1.0,0.0,2.0,28.0,36.0,1.0,3.0,3.0,1.0,40.0,7.0,223.8,10.0,286.0,1448.0,29.0,16,0
Isaiah Pead,RB,2012,16.0,17.0,10.0,54.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,13.0,70.0,22.0,8,0
Jacquizz Rodgers,RB,2012,402.0,437.0,94.0,362.0,10.0,1.0,1.0,1.0,0.0,53.0,58.0,1.0,6.0,6.0,1.0,17.0,1.0,139.4,3.0,147.0,764.0,22.0,16,0
Jalen Parmele,RB,2012,60.0,54.0,39.0,143.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,1.0,0.0,4.0,0.0,27.3,0.0,46.0,203.0,26.0,6,0
Jamaal Charles,RB,2012,236.0,255.0,285.0,1509.0,36.0,5.0,1.0,0.0,5.0,35.0,48.0,1.0,3.0,5.0,1.0,26.0,1.0,236.5,7.0,320.0,1745.0,25.0,16,1
James Starks,RB,2012,31.0,42.0,71.0,255.0,7.0,1.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,38.6,1.0,75.0,286.0,26.0,6,0
Jamie Harper,RB,2012,8.0,5.0,19.0,30.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,22.8,3.0,20.0,38.0,22.0,6,0
Jason Snelling,RB,2012,203.0,214.0,18.0,63.0,2.0,0.0,1.0,0.0,1.0,31.0,35.0,1.0,7.0,9.0,1.0,6.0,0.0,60.6,2.0,49.0,266.0,28.0,16,0
Javon Ringer,RB,2012,12.0,18.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,5.0,26.0,25.0,2,0
Joe McKnight,RB,2012,18.0,9.0,30.0,179.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,20.7,0.0,31.0,197.0,24.0,12,0
Jonathan Dwyer,RB,2012,106.0,105.0,156.0,623.0,14.0,2.0,0.0,1.0,2.0,18.0,24.0,0.0,0.0,1.0,0.0,24.0,2.0,94.9,2.0,174.0,729.0,23.0,13,0
Jonathan Stewart,RB,2012,157.0,179.0,93.0,336.0,15.0,1.0,1.0,0.0,2.0,17.0,23.0,1.0,1.0,2.0,1.0,9.0,1.0,78.3,3.0,110.0,493.0,25.0,9,0
Jordan Todman,RB,2012,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,4.0,8.0,22.0,1,0
Justin Forsett,RB,2012,38.0,43.0,63.0,374.0,8.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,5.0,0.0,50.200000000000000,1.0,66.0,412.0,26.0,11,0
Kendall Hunter,RB,2012,60.0,57.0,72.0,371.0,3.0,2.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,13.0,2.0,64.1,2.0,81.0,431.0,23.0,11,0
