player_name,season,receiving_yards,yards_after_catch,rush_attempts,rush_touchdown,pass_touchdown,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,offense_snaps,total_tds,touches,total_yards,games_missed,age,games_played_season,Top_10_Next_Season_or_Not
Jabar Gaffney,2012,68.0,11.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,8.8,90.0,0.0,4.0,68.0,13,31.0,3,0
Jacoby Jones,2012,406.0,83.0,1.0,0.0,1.0,0.0,30.0,54.0,1.0,1.0,4.0,0.0,75.2,426.0,2.0,31.0,412.0,0,28.0,16,0
James Jones,2012,784.0,230.0,0.0,0.0,14.0,0.0,64.0,96.0,14.0,14.0,20.0,11.0,222.4,1007.0,28.0,64.0,784.0,0,28.0,16,0
Jarius Wright,2012,310.0,109.0,2.0,0.0,2.0,0.0,22.0,35.0,2.0,3.0,5.0,2.0,64.1,206.0,4.0,24.0,321.0,9,22.0,7,0
Jason Avant,2012,634.0,148.0,0.0,0.0,0.0,1.0,53.0,74.0,0.0,2.0,6.0,0.0,112.4,656.0,0.0,53.0,634.0,2,29.0,14,0
Jeremy Kerley,2012,827.0,292.0,5.0,0.0,2.0,2.0,56.0,92.0,2.0,6.0,9.0,2.0,142.18,663.0,4.0,62.0,877.0,0,23.0,16,0
Jeremy Maclin,2012,856.0,268.0,0.0,0.0,7.0,1.0,69.0,119.0,7.0,8.0,17.0,3.0,187.6,975.0,14.0,69.0,856.0,1,24.0,15,0
Jerome Simpson,2012,224.0,43.0,0.0,0.0,0.0,2.0,22.0,45.0,0.0,0.0,1.0,0.0,39.4,405.0,0.0,22.0,224.0,5,26.0,11,0
Jerrel Jernigan,2012,22.0,7.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.8,20.0,0.0,4.0,28.0,10,23.0,6,0
Jerricho Cotchery,2012,205.0,43.0,0.0,0.0,0.0,0.0,17.0,27.0,0.0,2.0,4.0,0.0,37.5,253.0,0.0,17.0,205.0,4,30.0,12,0
Joe Adams,2012,7.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,4.0,20.0,13,22.0,3,0
Jordan Shipley,2012,201.0,36.0,0.0,0.0,1.0,0.0,19.0,30.0,1.0,1.0,1.0,1.0,45.1,201.0,2.0,19.0,201.0,12,26.0,4,0
Jordy Nelson,2012,745.0,251.0,0.0,0.0,7.0,0.0,49.0,72.0,7.0,6.0,12.0,4.0,163.5,595.0,14.0,49.0,745.0,4,27.0,12,0
Josh Morgan,2012,510.0,234.0,3.0,0.0,2.0,1.0,48.0,70.0,2.0,4.0,7.0,2.0,107.5,709.0,4.0,52.0,535.0,0,27.0,16,0
Julian Edelman,2012,235.0,141.0,4.0,0.0,3.0,1.0,21.0,32.0,3.0,3.0,6.0,2.0,64.0,280.0,6.0,25.0,280.0,8,26.0,8,0
Julio Jones,2012,1198.0,464.0,6.0,0.0,10.0,0.0,79.0,126.0,10.0,11.0,19.0,7.0,255.8,836.0,20.0,85.0,1228.0,0,23.0,16,0
Juron Criner,2012,151.0,80.0,0.0,0.0,1.0,1.0,16.0,32.0,1.0,2.0,6.0,1.0,35.1,145.0,2.0,16.0,151.0,7,22.0,9,0
Justin Blackmon,2012,841.0,280.0,2.0,0.0,5.0,1.0,61.0,120.0,5.0,6.0,10.0,3.0,165.4,890.0,10.0,63.0,864.0,1,22.0,15,0
Kendall Wright,2012,626.0,314.0,1.0,0.0,4.0,1.0,64.0,102.0,4.0,7.0,13.0,3.0,144.0,556.0,8.0,65.0,630.0,1,22.0,15,0
Kenny Britt,2012,529.0,104.0,0.0,0.0,4.0,2.0,38.0,75.0,4.0,4.0,10.0,3.0,107.9,544.0,8.0,38.0,529.0,4,23.0,12,0
Keshawn Martin,2012,85.0,37.0,4.0,0.0,1.0,0.0,10.0,25.0,1.0,3.0,7.0,1.0,23.8,262.0,2.0,14.0,138.0,3,22.0,13,0
Kevin Walter,2012,518.0,94.0,0.0,0.0,2.0,0.0,41.0,66.0,2.0,2.0,3.0,0.0,100.8,819.0,4.0,41.0,518.0,0,31.0,16,0
Larry Fitzgerald,2012,798.0,272.0,0.0,0.0,4.0,0.0,71.0,144.0,4.0,8.0,18.0,2.0,150.8,1030.0,8.0,71.0,798.0,0,29.0,16,0
Laurent Robinson,2012,186.0,44.0,0.0,0.0,0.0,1.0,19.0,34.0,0.0,2.0,5.0,0.0,34.6,190.0,0.0,19.0,186.0,10,27.0,6,0
Lavelle Hawkins,2012,62.0,7.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,1.0,0.0,11.2,51.0,0.0,5.0,62.0,10,26.0,6,0
LaVon Brazill,2012,186.0,72.0,0.0,0.0,1.0,0.0,11.0,23.0,1.0,1.0,1.0,0.0,33.6,181.0,2.0,11.0,186.0,5,23.0,11,0
Leonard Hankerson,2012,543.0,150.0,2.0,0.0,3.0,0.0,38.0,57.0,3.0,4.0,7.0,1.0,110.8,564.0,6.0,40.0,548.0,1,23.0,15,0
Louis Murphy,2012,336.0,61.0,1.0,0.0,1.0,1.0,25.0,60.0,1.0,4.0,12.0,1.0,62.9,626.0,2.0,26.0,339.0,1,25.0,15,0
Mario Manningham,2012,449.0,173.0,3.0,0.0,1.0,2.0,42.0,56.0,1.0,6.0,7.0,1.0,94.3,363.0,2.0,45.0,513.0,4,26.0,12,0
Marques Colston,2012,1154.0,292.0,0.0,0.0,10.0,4.0,83.0,126.0,10.0,17.0,23.0,10.0,244.4,831.0,20.0,83.0,1154.0,0,29.0,16,0
Marvin Jones,2012,201.0,34.0,3.0,0.0,1.0,0.0,18.0,31.0,1.0,2.0,4.0,1.0,46.8,333.0,2.0,21.0,248.0,8,22.0,8,0
Michael Crabtree,2012,1105.0,544.0,1.0,0.0,9.0,0.0,85.0,124.0,9.0,5.0,11.0,5.0,246.3,675.0,18.0,86.0,1113.0,0,24.0,16,0
Michael Floyd,2012,562.0,156.0,0.0,0.0,2.0,1.0,45.0,85.0,2.0,1.0,5.0,1.0,108.2,550.0,4.0,45.0,562.0,1,22.0,15,0
Michael Jenkins,2012,404.0,116.0,0.0,0.0,2.0,0.0,37.0,64.0,2.0,3.0,9.0,2.0,83.4,660.0,4.0,37.0,404.0,1,30.0,15,0
Mike Thomas,2012,80.0,12.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,2.0,3.0,0.0,21.0,191.0,0.0,13.0,80.0,3,25.0,13,0
Mike Thomas,2012,28.0,15.0,6.0,0.0,1.0,0.0,5.0,13.0,1.0,1.0,3.0,1.0,19.600000000000000,203.0,2.0,11.0,86.0,3,25.0,13,0
Mike Wallace,2012,836.0,272.0,5.0,0.0,8.0,2.0,64.0,114.0,8.0,10.0,17.0,3.0,183.30000000000000,835.0,16.0,69.0,843.0,1,26.0,15,0
Mike Williams,2012,996.0,324.0,0.0,0.0,9.0,0.0,63.0,123.0,9.0,8.0,19.0,6.0,211.72,898.0,18.0,64.0,1024.0,0,25.0,16,0
Mohamed Massaquoi,2012,248.0,102.0,0.0,0.0,0.0,0.0,16.0,29.0,0.0,2.0,3.0,0.0,38.8,233.0,0.0,16.0,248.0,8,25.0,8,0
Mohamed Sanu,2012,154.0,101.0,5.0,0.0,5.0,0.0,16.0,25.0,4.0,4.0,7.0,4.0,65.82,190.0,9.0,22.0,242.0,10,23.0,6,0
Nate Burleson,2012,240.0,83.0,8.0,0.0,2.0,0.0,27.0,43.0,2.0,5.0,7.0,2.0,67.8,356.0,4.0,35.0,288.0,10,31.0,6,0
Percy Harvin,2012,593.0,461.0,17.0,1.0,3.0,2.0,56.0,75.0,3.0,8.0,11.0,3.0,139.9,373.0,7.0,73.0,669.0,8,24.0,8,0
Pierre Garcon,2012,633.0,309.0,2.0,0.0,4.0,0.0,44.0,66.0,4.0,5.0,7.0,2.0,130.2,395.0,8.0,46.0,642.0,6,26.0,10,0
Plaxico Burress,2012,42.0,4.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,1.0,2.0,1.0,13.2,22.0,2.0,3.0,42.0,14,35.0,2,0
Ramses Barden,2012,220.0,48.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,0.0,1.0,0.0,34.0,199.0,0.0,14.0,220.0,10,26.0,6,0
Randall Cobb,2012,954.0,455.0,10.0,0.0,8.0,0.0,80.0,101.0,8.0,7.0,8.0,4.0,230.6,635.0,16.0,90.0,1086.0,1,22.0,15,0
Randy Moss,2012,434.0,83.0,0.0,0.0,3.0,1.0,28.0,47.0,3.0,2.0,7.0,1.0,83.40000000000000,406.0,6.0,28.0,434.0,0,35.0,16,0
Reggie Wayne,2012,1355.0,360.0,1.0,0.0,5.0,1.0,106.0,185.0,5.0,9.0,18.0,4.0,248.0,1079.0,10.0,107.0,1350.0,0,33.0,16,0
Riley Cooper,2012,248.0,91.0,0.0,0.0,3.0,0.0,23.0,48.0,3.0,4.0,4.0,3.0,65.8,487.0,6.0,23.0,248.0,5,24.0,11,0
Rishard Matthews,2012,151.0,30.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,1.0,0.0,24.1,209.0,0.0,11.0,151.0,10,22.0,6,0
Robert Meachem,2012,199.0,34.0,1.0,0.0,2.0,0.0,13.0,29.0,2.0,1.0,2.0,1.0,40.300000000000000,363.0,4.0,14.0,193.0,8,27.0,8,0
Roddy White,2012,1351.0,326.0,0.0,0.0,7.0,1.0,92.0,139.0,7.0,9.0,20.0,4.0,261.10000000000000,988.0,14.0,92.0,1351.0,0,30.0,16,0
Rueben Randle,2012,298.0,73.0,0.0,0.0,3.0,0.0,19.0,32.0,3.0,3.0,7.0,2.0,66.8,237.0,6.0,19.0,298.0,6,21.0,10,0
Ryan Broyles,2012,310.0,152.0,0.0,0.0,2.0,0.0,22.0,31.0,2.0,3.0,4.0,2.0,63.0,252.0,4.0,22.0,310.0,8,24.0,8,0
Santana Moss,2012,573.0,235.0,3.0,0.0,8.0,2.0,41.0,61.0,8.0,3.0,5.0,3.0,142.7,454.0,16.0,44.0,587.0,0,33.0,16,0
Santonio Holmes,2012,272.0,104.0,0.0,0.0,1.0,1.0,20.0,41.0,1.0,2.0,2.0,1.0,50.2,188.0,2.0,20.0,272.0,12,28.0,4,0
Sidney Rice,2012,748.0,143.0,2.0,0.0,7.0,0.0,50.0,80.0,7.0,7.0,14.0,4.0,164.4,765.0,14.0,54.0,779.0,0,25.0,16,0
Stephen Hill,2012,212.0,32.0,0.0,0.0,3.0,0.0,16.0,37.0,3.0,2.0,6.0,2.0,51.2,363.0,6.0,16.0,212.0,6,21.0,10,0
Steve Breaston,2012,74.0,6.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,10.4,237.0,0.0,7.0,74.0,9,29.0,7,0
Steve Johnson,2012,1046.0,365.0,0.0,0.0,6.0,1.0,79.0,141.0,6.0,7.0,16.0,3.0,202.6,940.0,12.0,79.0,1046.0,0,26.0,16,0
Steve Smith,2012,131.0,39.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,3.0,4.0,0.0,25.1,173.0,0.0,14.0,131.0,7,27.0,9,0
T.Y. Hilton,2012,861.0,387.0,5.0,0.0,7.0,0.0,50.0,87.0,7.0,5.0,10.0,2.0,175.0,673.0,14.0,56.0,890.0,1,22.0,15,0
Tandon Doss,2012,123.0,52.0,0.0,0.0,1.0,0.0,7.0,17.0,1.0,1.0,2.0,1.0,25.3,136.0,2.0,7.0,123.0,8,22.0,8,0
Ted Ginn,2012,1.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.8,30.0,0.0,3.0,8.0,13,27.0,3,0
Titus Young,2012,383.0,79.0,2.0,0.0,4.0,0.0,33.0,54.0,4.0,3.0,7.0,2.0,92.9,603.0,8.0,35.0,399.0,6,23.0,10,0
Torrey Smith,2012,758.0,198.0,2.0,0.0,7.0,0.0,43.0,98.0,7.0,7.0,10.0,5.0,157.7,852.0,14.0,45.0,767.0,1,23.0,15,0
Travis Benjamin,2012,298.0,65.0,6.0,0.0,2.0,1.0,18.0,32.0,2.0,2.0,2.0,0.0,53.4,284.0,4.0,24.0,364.0,4,22.0,12,0
Trevor Graham,2012,322.0,179.0,1.0,0.0,1.0,0.0,31.0,55.0,1.0,3.0,4.0,1.0,63.7,696.0,2.0,32.0,327.0,1,23.0,15,0
Vincent Jackson,2012,1384.0,361.0,0.0,0.0,8.0,0.0,72.0,142.0,8.0,11.0,20.0,6.0,248.4,976.0,16.0,72.0,1384.0,0,29.0,16,0
Alshon Jeffery,2013,1421.0,415.0,16.0,0.0,7.0,3.0,89.0,145.0,7.0,5.0,19.0,3.0,270.60000000000000,963.0,14.0,105.0,1526.0,0,23.0,16,1
Antonio Brown,2013,1443.0,574.0,7.0,0.0,8.0,0.0,110.0,163.0,8.0,12.0,23.0,1.0,297.3,954.0,16.0,118.0,1462.0,0,25.0,16,1
Demaryius Thomas,2013,1430.0,697.0,0.0,0.0,14.0,1.0,92.0,139.0,14.0,13.0,20.0,7.0,313.0,1106.0,28.0,92.0,1430.0,0,25.0,16,1
Dez Bryant,2013,1233.0,524.0,1.0,0.0,13.0,3.0,93.0,157.0,13.0,13.0,21.0,10.0,285.4,935.0,26.0,94.0,1234.0,0,24.0,16,1
Emmanuel Sanders,2013,733.0,279.0,2.0,0.0,6.0,1.0,67.0,107.0,6.0,9.0,16.0,5.0,168.8,797.0,12.0,69.0,758.0,0,26.0,16,1
Golden Tate,2013,898.0,474.0,3.0,0.0,5.0,1.0,64.0,96.0,5.0,4.0,7.0,3.0,182.9,762.0,10.0,67.0,929.0,0,25.0,16,1
Randall Cobb,2013,378.0,170.0,4.0,0.0,2.0,0.0,29.0,44.0,2.0,3.0,9.0,1.0,84.6,295.0,4.0,33.0,456.0,11,23.0,5,1
A.J. Green,2013,1426.0,393.0,0.0,0.0,11.0,1.0,98.0,166.0,11.0,10.0,21.0,5.0,282.6,1056.0,22.0,98.0,1426.0,0,25.0,16,0
A.J. Jenkins,2013,130.0,44.0,2.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,3.0,0.0,21.6,152.0,0.0,10.0,136.0,9,23.0,7,0
Aaron Dobson,2013,519.0,185.0,0.0,0.0,4.0,1.0,37.0,71.0,4.0,4.0,9.0,2.0,110.9,511.0,8.0,37.0,519.0,5,22.0,11,0
Ace Sanders,2013,484.0,297.0,2.0,0.0,2.0,0.0,51.0,84.0,1.0,5.0,11.0,1.0,108.64,601.0,3.0,54.0,509.0,1,21.0,15,0
Aldrick Robinson,2013,365.0,86.0,3.0,0.0,2.0,0.0,18.0,45.0,2.0,1.0,2.0,0.0,64.1,386.0,4.0,21.0,361.0,3,24.0,13,0
Andre Caldwell,2013,200.0,41.0,1.0,0.0,3.0,0.0,16.0,29.0,3.0,2.0,4.0,2.0,54.700000000000000,233.0,6.0,17.0,207.0,4,28.0,12,0
Andre Johnson,2013,1407.0,405.0,0.0,0.0,5.0,0.0,109.0,173.0,5.0,7.0,18.0,3.0,263.7,994.0,10.0,109.0,1407.0,0,32.0,16,0
Andre Roberts,2013,471.0,113.0,0.0,0.0,2.0,0.0,43.0,74.0,2.0,2.0,6.0,1.0,98.1,605.0,4.0,43.0,471.0,0,25.0,16,0
Anquan Boldin,2013,1179.0,425.0,2.0,0.0,7.0,0.0,85.0,129.0,7.0,11.0,15.0,7.0,246.0,804.0,14.0,87.0,1190.0,0,32.0,16,0
Austin Collie,2013,35.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,4.5,46.0,0.0,3.0,35.0,14,27.0,2,0
Austin Pettis,2013,399.0,118.0,0.0,0.0,4.0,0.0,38.0,62.0,4.0,5.0,9.0,3.0,99.9,555.0,8.0,38.0,399.0,2,25.0,14,0
Ben Obomanu,2013,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,40.0,0.0,1.0,8.0,15,29.0,1,0
Brad Smith,2013,27.0,16.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.9000000000000000,19.0,0.0,5.0,29.0,11,29.0,5,0
Brandon Gibson,2013,326.0,113.0,0.0,0.0,3.0,0.0,30.0,41.0,3.0,5.0,7.0,3.0,76.6,252.0,6.0,30.0,326.0,9,26.0,7,0
Brandon LaFell,2013,627.0,257.0,2.0,0.0,5.0,1.0,49.0,80.0,5.0,5.0,8.0,4.0,133.2,858.0,10.0,51.0,642.0,1,26.0,15,0
Brandon Marshall,2013,1295.0,283.0,0.0,0.0,12.0,0.0,100.0,159.0,12.0,12.0,21.0,9.0,293.5,988.0,24.0,100.0,1295.0,0,29.0,16,0
Brandon Stokley,2013,81.0,41.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,1.0,0.0,16.1,101.0,0.0,10.0,81.0,12,37.0,4,0
